Canale,Python_Count,MATLAB_Count,Matched,Python_Only,MATLAB_Only,Precision(%),Recall(%)
EEG Cz,70,0,0,70,0,0.0,0.0
EEGF3,0,372,0,0,372,0.0,0.0
EEGO2,0,463,0,0,463,0.0,0.0
EEGF7,0,414,0,0,414,0.0,0.0
EEGT5,0,489,0,0,489,0.0,0.0
EEG O2,78,0,0,78,0,0.0,0.0
EEG F8,58,0,0,58,0,0.0,0.0
EEG Fz,91,0,0,91,0,0.0,0.0
EEGT6,0,484,0,0,484,0.0,0.0
EEGO1,0,261,0,0,261,0.0,0.0
EEGFp1,0,249,0,0,249,0.0,0.0
EEGPz,0,454,0,0,454,0.0,0.0
EEGT4,0,409,0,0,409,0.0,0.0
EEGF8,0,395,0,0,395,0.0,0.0
EEGP4,0,433,0,0,433,0.0,0.0
EEGT3,0,318,0,0,318,0.0,0.0
EEGP3,0,335,0,0,335,0.0,0.0
EEG P3,82,0,0,82,0,0.0,0.0
EEG T5,50,0,0,50,0,0.0,0.0
EEG T6,61,0,0,61,0,0.0,0.0
EEG F3,63,0,0,63,0,0.0,0.0
EEGF4,0,378,0,0,378,0.0,0.0
EEG O1,85,0,0,85,0,0.0,0.0
EEGFz,0,173,0,0,173,0.0,0.0
EEG C3,77,0,0,77,0,0.0,0.0
EEGC3,0,528,0,0,528,0.0,0.0
EEG T4,77,0,0,77,0,0.0,0.0
EEG F7,53,0,0,53,0,0.0,0.0
EEG C4,55,0,0,55,0,0.0,0.0
EEG Fp1,49,0,0,49,0,0.0,0.0
EEG P4,73,0,0,73,0,0.0,0.0
EEG T3,52,0,0,52,0,0.0,0.0
EEG Pz,92,0,0,92,0,0.0,0.0
EEG F4,73,0,0,73,0,0.0,0.0
EEGCz,0,495,0,0,495,0.0,0.0
EEGC4,0,458,0,0,458,0.0,0.0
EEG Fp2,73,0,0,73,0,0.0,0.0
EEGFp2,0,253,0,0,253,0.0,0.0
