Canale,Start_Time(s),End_Time(s)
EEGFp1,42.359375,43.2734375
EEGFp1,49.5703125,52.6171875
EEGFp1,56.8828125,57.4921875
EEGFp1,60.7421875,61.453125
EEGFp1,62.3671875,63.28125
EEGFp1,68.765625,70.4921875
EEGFp1,71.7109375,72.421875
EEGFp1,76.3828125,79.125
EEGFp1,80.4453125,84.5078125
EEGFp1,86.234375,91.8203125
EEGFp1,94.15625,97
EEGFp1,98.7265625,99.9453125
EEGFp1,101.0625,102.3828125
EEGFp1,113.3515625,114.3671875
EEGFp1,115.3828125,116.5
EEGFp1,120.5625,121.375
EEGFp1,124.7265625,126.7578125
EEGFp1,134.375,135.0859375
EEGFp1,137.1171875,137.9296875
EEGFp1,140.46875,141.1796875
EEGFp1,144.4296875,145.953125
EEGFp1,148.1875,151.03125
EEGFp1,152.5546875,154.5859375
EEGFp1,156.3125,157.0234375
EEGFp1,159.4609375,163.9296875
EEGFp1,165.046875,167.28125
EEGFp1,169.109375,173.4765625
EEGFp1,181.6015625,184.75
EEGFp1,186.171875,186.8828125
EEGFp1,193.9921875,195.4140625
EEGFp1,198.4609375,199.2734375
EEGFp1,200.6953125,201.40625
EEGFp1,205.1640625,205.7734375
EEGFp1,206.7890625,207.6015625
EEGFp1,213.8984375,214.5078125
EEGFp1,215.5234375,218.0625
EEGFp1,221.71875,223.8515625
EEGFp1,236.0390625,237.0546875
EEGFp1,245.6875,246.6015625
EEGFp1,247.6171875,251.2734375
EEGFp1,255.9453125,258.078125
EEGFp1,259.5,262.4453125
EEGFp1,263.359375,263.96875
EEGFp1,271.6875,272.296875
EEGFp1,273.921875,274.53125
EEGFp1,281.3359375,282.7578125
EEGFp1,293.5234375,295.5546875
EEGFp1,309.7734375,310.890625
EEGFp1,320.5390625,322.1640625
EEGFp1,323.5859375,324.296875
EEGFp1,325.515625,326.125
EEGFp1,327.4453125,331.3046875
EEGFp1,334.453125,335.3671875
EEGFp1,338.4140625,339.53125
EEGFp1,341.359375,342.578125
EEGFp1,344.203125,345.828125
EEGFp1,349.3828125,350.296875
EEGFp1,353.953125,358.21875
EEGFp1,361.265625,362.5859375
EEGFp1,367.5625,368.6796875
EEGFp1,389.6015625,390.8203125
EEGFp1,393.765625,394.375
EEGFp1,395.4921875,398.84375
EEGFp1,401.078125,403.4140625
EEGFp1,410.3203125,412.3515625
EEGFp1,417.4296875,419.15625
EEGFp1,421.796875,424.7421875
EEGFp1,440.6875,441.703125
EEGFp1,447.59375,448.609375
EEGFp1,451.7578125,453.6875
EEGFp1,456.328125,458.359375
EEGFp1,462.015625,468.0078125
EEGFp1,476.640625,478.7734375
EEGFp1,481.71875,482.8359375
EEGFp1,489.234375,490.453125
EEGFp1,493.1953125,493.90625
EEGFp1,495.734375,496.75
EEGFp1,499.8984375,502.84375
EEGFp1,507.0078125,508.9375
EEGFp1,510.0546875,513.203125
EEGFp1,517.265625,520.4140625
EEGFp1,521.9375,524.0703125
EEGFp1,525.0859375,525.8984375
EEGFp1,527.7265625,528.4375
EEGFp1,530.9765625,533.6171875
EEGFp1,539.1015625,540.9296875
EEGFp1,542.3515625,547.125
EEGFp1,548.0390625,552
EEGFp1,555.453125,557.5859375
EEGFp1,563.4765625,564.390625
EEGFp1,569.3671875,571.1953125
EEGFp1,576.0703125,578.8125
EEGFp1,581.453125,583.890625
EEGFp1,593.4375,595.9765625
EEGFp1,597.1953125,597.8046875
EEGFp1,598.8203125,599.53125
EEGFp1,604.8125,605.421875
EEGFp1,620.3515625,622.1796875
EEGFp1,624.71875,625.734375
EEGFp1,627.0546875,630.1015625
EEGFp1,633.7578125,636.6015625
EEGFp1,637.6171875,642.796875
EEGFp1,646.3515625,648.890625
EEGFp1,651.328125,652.6484375
EEGFp1,653.765625,654.4765625
EEGFp1,657.015625,658.640625
EEGFp1,662.1953125,663.4140625
EEGFp1,665.34375,666.8671875
EEGFp1,669.7109375,673.7734375
EEGFp1,677.734375,678.4453125
EEGFp1,684.640625,686.9765625
EEGFp1,690.328125,692.5625
EEGFp1,696.421875,700.28125
EEGFp1,701.5,702.4140625
EEGFp1,703.4296875,705.5625
EEGFp1,707.390625,708
EEGFp1,711.453125,714.09375
EEGFp1,715.71875,718.765625
EEGFp1,728.109375,729.6328125
EEGFp1,735.421875,737.25
EEGFp1,740.8046875,742.125
EEGFp1,747.9140625,749.234375
EEGFp1,752.9921875,754.0078125
EEGFp1,784.8828125,787.9296875
EEGFp1,792.3984375,794.6328125
EEGFp1,798.1875,800.3203125
EEGFp1,806.71875,809.5625
EEGFp1,812.7109375,815.1484375
EEGFp1,826.015625,828.7578125
EEGFp1,833.8359375,837.2890625
EEGFp1,838.609375,841.25
EEGFp1,845.0078125,846.0234375
EEGFp1,853.234375,857.09375
EEGFp1,858.921875,861.0546875
EEGFp1,865.625,867.3515625
EEGFp1,869.890625,873.6484375
EEGFp1,874.6640625,876.1875
EEGFp1,879.4375,880.7578125
EEGFp1,882.3828125,883.703125
EEGFp1,884.71875,886.4453125
EEGFp1,887.359375,888.375
EEGFp1,893.65625,895.484375
EEGFp1,897.0078125,897.71875
EEGFp1,901.171875,903.9140625
EEGFp1,905.9453125,906.5546875
EEGFp1,909.5,911.9375
EEGFp1,913.359375,917.015625
EEGFp1,919.859375,920.671875
EEGFp1,924.4296875,926.8671875
EEGFp1,929.9140625,933.265625
EEGFp1,937.8359375,938.546875
EEGFp1,941.6953125,944.234375
EEGFp1,948.5,949.921875
EEGFp1,955.8125,957.03125
EEGFp1,958.25,960.890625
EEGFp1,962.0078125,963.0234375
EEGFp1,964.2421875,966.171875
EEGFp1,972.875,974.5
EEGFp1,985.0625,986.5859375
EEGFp1,989.4296875,990.75
EEGFp1,994.3046875,995.625
EEGFp1,1001.0078125,1003.34375
EEGFp1,1008.421875,1009.4375
EEGFp1,1012.28125,1012.9921875
EEGFp1,1019.2890625,1020.3046875
EEGFp1,1032.0859375,1033.1015625
EEGFp1,1034.625,1038.890625
EEGFp1,1040.6171875,1044.0703125
EEGFp1,1045.1875,1047.9296875
EEGFp1,1051.9921875,1054.0234375
EEGFp1,1057.2734375,1058.6953125
EEGFp1,1062.859375,1065.296875
EEGFp1,1067.4296875,1070.4765625
EEGFp1,1072.609375,1075.1484375
EEGFp1,1082.359375,1084.8984375
EEGFp1,1087.234375,1088.9609375
EEGFp1,1093.734375,1096.171875
EEGFp1,1097.8984375,1100.4375
EEGFp1,1109.578125,1110.2890625
EEGFp1,1111.3046875,1112.625
EEGFp1,1116.078125,1119.328125
EEGFp1,1122.375,1124.40625
EEGFp1,1126.640625,1129.484375
EEGFp1,1133.6484375,1135.984375
EEGFp1,1139.9453125,1140.859375
EEGFp1,1144.8203125,1146.8515625
EEGFp1,1147.8671875,1150.7109375
EEGFp1,1153.5546875,1157.0078125
EEGFp1,1158.53125,1161.78125
EEGFp1,1166.25,1167.671875
EEGFp1,1171.2265625,1172.953125
EEGFp1,1179.046875,1180.46875
EEGFp1,1184.328125,1186.765625
EEGFp1,1189.7109375,1193.7734375
EEGFp1,1194.6875,1199.4609375
EEGFp1,1200.984375,1204.3359375
EEGFp1,1205.5546875,1207.890625
EEGFp1,1211.75,1213.171875
EEGFp1,1216.5234375,1217.234375
EEGFp1,1221.8046875,1223.125
EEGFp1,1226.171875,1228.7109375
EEGFp1,1232.265625,1234.296875
EEGFp1,1240.2890625,1242.7265625
EEGFp1,1251.8671875,1253.0859375
EEGFp1,1258.9765625,1259.5859375
EEGFp1,1266.796875,1268.1171875
EEGFp1,1271.265625,1274.2109375
EEGFp1,1278.4765625,1280
EEGFp1,1284.875,1287.109375
EEGFp1,1293.3046875,1295.3359375
EEGFp1,1311.890625,1312.8046875
EEGFp1,1314.2265625,1315.34375
EEGFp1,1320.21875,1321.9453125
EEGFp1,1325.3984375,1330.375
EEGFp1,1333.625,1334.9453125
EEGFp1,1339.2109375,1341.0390625
EEGFp1,1344.2890625,1348.046875
EEGFp1,1349.0625,1352.71875
EEGFp1,1355.8671875,1359.3203125
EEGFp1,1365.71875,1367.953125
EEGFp1,1372.1171875,1372.9296875
EEGFp1,1379.6328125,1381.765625
EEGFp1,1382.6796875,1384
EEGFp1,1385.7265625,1387.65625
EEGFp1,1389.484375,1390.3984375
EEGFp1,1395.0703125,1396.1875
EEGFp1,1400.3515625,1402.7890625
EEGFp1,1404.2109375,1406.546875
EEGFp1,1409.6953125,1412.7421875
EEGFp1,1415.6875,1416.296875
EEGFp1,1417.921875,1418.6328125
EEGFp1,1426.9609375,1428.484375
EEGFp1,1431.734375,1432.6484375
EEGFp1,1437.9296875,1439.25
EEGFp1,1440.671875,1442.1953125
EEGFp1,1443.8203125,1451.640625
EEGFp1,1454.9921875,1456.8203125
EEGFp1,1459.96875,1463.3203125
EEGFp1,1466.875,1468.5
EEGFp1,1470.328125,1474.796875
EEGFp1,1479.265625,1480.3828125
EEGFp1,1484.6484375,1486.375
EEGFp1,1491.1484375,1493.484375
EEGFp1,1496.0234375,1497.2421875
EEGFp1,1504.25,1506.1796875
EEGFp1,1511.359375,1511.96875
EEGFp1,1515.7265625,1517.9609375
EEGFp1,1522.125,1527.8125
EEGFp1,1538.0703125,1540.40625
EEGFp1,1543.3515625,1546.703125
EEGFp1,1548.734375,1551.578125
EEGFp1,1552.8984375,1554.21875
EEGFp1,1557.3671875,1558.9921875
EEGFp1,1560.109375,1561.53125
EEGFp1,1565.6953125,1566.8125
EEGFp1,1567.9296875,1568.640625
EEGFp1,1572.5,1575.8515625
EEGFp1,1582.5546875,1583.671875
EEGFp1,1587.53125,1588.140625
EEGFp1,1593.3203125,1593.9296875
EEGFp1,1595.5546875,1597.3828125
EEGFp1,1603.0703125,1605.8125
EEGFp1,1614.4453125,1616.6796875
EEGFp1,1620.9453125,1621.9609375
EEGFp1,1634.25,1634.859375
EEGFp1,1635.875,1638.2109375
EEGFp1,1643.796875,1644.40625
EEGFp1,1647.25,1650.296875
EEGFp1,1651.8203125,1652.4296875
EEGFp1,1653.34375,1655.4765625
EEGFp1,1659.1328125,1659.7421875
EEGFp1,1663.1953125,1665.2265625
EEGFp1,1666.75,1667.765625
EEGFp1,1669.796875,1670.40625
EEGFp1,1673.3515625,1674.46875
EEGFp1,1681.0703125,1682.59375
EEGFp1,1685.1328125,1687.1640625
EEGFp1,1690.71875,1693.4609375
EEGFp1,1695.796875,1696.5078125
EEGFp1,1700.5703125,1701.28125
EEGFp1,1705.0390625,1706.6640625
EEGFp1,1712.1484375,1715.1953125
EEGFp1,1718.6484375,1721.4921875
EEGFp1,1725.859375,1728.8046875
EEGFp1,1732.5625,1735.40625
EEGFp1,1738.859375,1739.7734375
EEGFp1,1743.125,1744.140625
EEGFp1,1746.6796875,1749.7265625
EEGFp1,1759.6796875,1760.59375
EEGFp1,1763.9453125,1766.5859375
EEGFp1,1769.328125,1770.75
EEGFp1,1773.1875,1774.5078125
EEGFp1,1785.6796875,1786.390625
EEGFp1,1789.7421875,1792.5859375
EEGFp1,1797.0546875,1797.765625
EEGFp1,1803.5546875,1804.46875
EEGFp1,1808.8359375,1809.4453125
EEGFp1,1811.984375,1812.796875
EEGFp1,1816.25,1820.2109375
EEGFp1,1823.6640625,1824.78125
EEGFp1,1828.1328125,1829.046875
EEGFp1,1832.3984375,1834.8359375
EEGFp1,1839.609375,1841.4375
EEGFp1,1844.6875,1845.8046875
EEGFp1,1850.8828125,1851.8984375
EEGFp1,1854.640625,1856.46875
EEGFp1,1859.921875,1861.6484375
EEGFp1,1868.25,1871.296875
EEGFp1,1874.140625,1876.8828125
EEGFp1,1881.046875,1882.0625
EEGFp1,1884.90625,1885.71875
EEGFp1,1900.0390625,1900.75
EEGFp1,1903.4921875,1905.421875
EEGFp1,1908.5703125,1909.28125
EEGFp1,1910.703125,1913.140625
EEGFp1,1914.15625,1917
EEGFp1,1918.9296875,1921.0625
EEGFp1,1925.9375,1927.15625
EEGFp1,1936.5,1938.328125
EEGFp1,1940.96875,1942.6953125
EEGFp1,1943.8125,1944.828125
EEGFp1,1949.5,1950.3125
EEGFp1,1953.4609375,1958.9453125
EEGFp1,1961.890625,1963.921875
EEGFp1,1967.171875,1968.59375
EEGFp1,1973.3671875,1975.3984375
EEGFp1,1981.8984375,1982.5078125
EEGFp1,1984.84375,1985.7578125
EEGFp1,1986.9765625,1987.7890625
EEGFp1,1990.328125,1993.2734375
EEGFp1,1997.3359375,1998.1484375
EEGFp1,2002.0078125,2006.0703125
EEGFp1,2007.390625,2008.203125
EEGFp1,2011.859375,2012.7734375
EEGFp1,2017.953125,2020.390625
EEGFp1,2024.25,2024.9609375
EEGFp1,2028.109375,2029.9375
EEGFp1,2032.6796875,2036.3359375
EEGFp1,2037.65625,2038.9765625
EEGFp1,2040.703125,2041.4140625
EEGFp1,2044.5625,2045.171875
EEGFp1,2050.453125,2051.0625
EEGFp1,2053.296875,2053.90625
EEGFp1,2057.4609375,2058.6796875
EEGFp1,2063.3515625,2063.9609375
EEGFp1,2069.546875,2070.96875
EEGFp1,2075.84375,2077.0625
EEGFp1,2085.390625,2087.21875
EEGFp1,2090.265625,2091.078125
EEGFp1,2094.2265625,2095.34375
EEGFp1,2098.796875,2100.7265625
EEGFp1,2105.1953125,2108.34375
EEGFp1,2111.59375,2112.5078125
EEGFp1,2116.3671875,2118.5
EEGFp1,2121.4453125,2123.984375
EEGFp1,2129.0625,2129.9765625
EEGFp1,2134.140625,2135.8671875
EEGFp1,2140.4375,2141.1484375
EEGFp1,2143.484375,2144.09375
EEGFp1,2150.4921875,2151.7109375
EEGFp1,2154.7578125,2155.671875
EEGFp1,2156.890625,2157.6015625
EEGFp1,2162.78125,2163.4921875
EEGFp1,2166.03125,2167.453125
EEGFp1,2169.28125,2169.9921875
EEGFp1,2173.34375,2174.0546875
EEGFp1,2178.3203125,2178.9296875
EEGFp1,2181.0625,2184.3125
EEGFp1,2188.78125,2190.8125
EEGFp1,2194.265625,2194.875
EEGFp1,2197.6171875,2200.15625
EEGFp1,2201.2734375,2202.8984375
EEGFp1,2206.3515625,2207.265625
EEGFp1,2211.9375,2212.75
EEGFp1,2226.765625,2227.578125
EEGFp1,2231.03125,2231.640625
