Canale,isi_min(s)
EEGFp1,0.9140625
EEGFp1,1.3203125
EEGFp1,1.5234375
EEGFp1,1.625
EEGFp1,1.7265625
EEGFp1,2.234375
EEGFp1,2.234375
EEGFp1,2.234375
EEGFp1,2.4375
EEGFp1,2.5390625
EEGFp2,1.015625
EEGFp2,1.21875
EEGFp2,1.421875
EEGFp2,1.9296875
EEGFp2,2.03125
EEGFp2,2.4375
EEGFp2,2.640625
EEGFp2,2.7421875
EEGFp2,2.84375
EEGFp2,2.84375
EEGFp2,2.9453125
EEGF7,1.5234375
EEGF7,2.640625
EEGF7,3.1484375
EEGF7,3.65625
EEGF7,3.9609375
EEGF3,1.3203125
EEGF3,1.421875
EEGF3,1.7265625
EEGF3,1.828125
EEGF3,2.234375
EEGF3,2.234375
EEGF3,2.3359375
EEGF3,2.4375
EEGFz,2.84375
EEGFz,3.5546875
EEGF4,0.9140625
EEGF4,2.9453125
EEGF4,2.9453125
EEGF4,3.1484375
EEGF4,3.25
EEGF4,3.25
EEGF4,3.3515625
EEGF8,1.015625
EEGF8,1.5234375
EEGF8,1.828125
EEGF8,2.1328125
EEGF8,2.1328125
EEGT3,9.140625
EEGC3,0.9140625
EEGC3,1.1171875
EEGC3,2.3359375
EEGC3,2.4375
EEGC3,2.84375
EEGCz,0.9140625
EEGCz,1.5234375
EEGCz,3.046875
EEGCz,3.25
EEGC4,0.9140625
EEGC4,1.21875
EEGC4,1.828125
EEGT4,3.9609375
EEGT4,4.265625
EEGT5,1.3203125
EEGT5,5.28125
EEGP3,1.1171875
EEGP3,1.21875
EEGP3,1.7265625
EEGP3,1.9296875
EEGPz,1.015625
EEGPz,1.1171875
EEGPz,1.7265625
EEGP4,2.4375
EEGP4,2.84375
EEGP4,3.1484375
EEGP4,3.859375
EEGP4,4.0625
EEGT6,0.9140625
EEGT6,1.421875
EEGT6,2.1328125
EEGT6,2.7421875
EEGO1,1.3203125
EEGO1,1.9296875
EEGO1,2.03125
EEGO1,2.03125
EEGO2,0.9140625
EEGO2,1.015625
EEGO2,1.015625
EEGO2,1.421875
EEGO2,1.7265625
