Canale,durata(s)
EEGFp1,4.9765625
EEGFp1,3.453125
EEGFp1,0.8125
EEGFp1,0.609375
EEGFp1,1.015625
EEGFp1,1.015625
EEGFp1,0.7109375
EEGFp1,1.015625
EEGFp1,0.7109375
EEGFp1,3.859375
EEGFp1,1.625
EEGFp1,0.9140625
EEGFp1,0.609375
EEGFp1,0.9140625
EEGFp1,1.3203125
EEGFp1,3.453125
EEGFp1,0.8125
EEGFp1,0.7109375
EEGFp1,2.03125
EEGFp1,1.7265625
EEGFp1,2.5390625
EEGFp1,2.234375
EEGFp1,0.609375
EEGFp1,2.4375
EEGFp1,0.609375
EEGFp1,2.03125
EEGFp1,1.1171875
EEGFp1,3.1484375
EEGFp1,5.28125
EEGFp1,7.2109375
EEGFp1,5.9921875
EEGFp1,1.625
EEGFp1,1.3203125
EEGFp1,0.9140625
EEGFp1,1.625
EEGFp1,1.1171875
EEGFp1,0.7109375
EEGFp1,4.0625
EEGFp1,1.3203125
EEGFp1,1.625
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,2.640625
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,1.015625
EEGFp1,1.7265625
EEGFp1,4.46875
EEGFp1,0.9140625
EEGFp1,1.828125
EEGFp1,8.2265625
EEGFp1,1.625
EEGFp1,1.7265625
EEGFp1,2.4375
EEGFp1,2.84375
EEGFp1,5.1796875
EEGFp1,2.1328125
EEGFp1,0.8125
EEGFp1,2.3359375
EEGFp1,2.1328125
EEGFp1,2.84375
EEGFp1,1.015625
EEGFp1,7.8203125
EEGFp1,1.015625
EEGFp1,2.640625
EEGFp1,0.7109375
EEGFp1,1.21875
EEGFp1,0.609375
EEGFp1,1.5234375
EEGFp1,1.421875
EEGFp1,0.8125
EEGFp1,0.8125
EEGFp1,3.9609375
EEGFp1,2.84375
EEGFp1,0.7109375
EEGFp1,0.7109375
EEGFp1,2.3359375
EEGFp1,3.1484375
EEGFp1,2.9453125
EEGFp1,2.640625
EEGFp1,0.7109375
EEGFp1,6.09375
EEGFp1,0.9140625
EEGFp1,1.828125
EEGFp1,5.3828125
EEGFp1,5.484375
EEGFp1,1.421875
EEGFp1,2.4375
EEGFp1,0.609375
EEGFp1,0.7109375
EEGFp1,0.8125
EEGFp1,0.8125
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.9140625
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,0.8125
EEGFp1,0.7109375
EEGFp1,1.3203125
EEGFp1,1.015625
EEGFp1,2.5390625
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,2.234375
EEGFp1,1.625
EEGFp1,1.1171875
EEGFp1,0.609375
EEGFp1,0.9140625
EEGFp1,0.8125
EEGFp1,1.7265625
EEGFp1,1.21875
EEGFp1,1.1171875
EEGFp1,1.015625
EEGFp1,2.1328125
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,1.828125
EEGFp1,0.609375
EEGFp1,1.015625
EEGFp1,0.609375
EEGFp1,0.8125
EEGFp1,0.7109375
EEGFp1,0.7109375
EEGFp1,1.3203125
EEGFp1,0.7109375
EEGFp1,0.8125
EEGFp1,0.8125
EEGFp1,0.7109375
EEGFp1,1.21875
EEGFp1,0.8125
EEGFp1,0.9140625
EEGFp1,0.9140625
EEGFp1,0.8125
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,0.7109375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.609375
EEGFp1,0.9140625
EEGFp1,0.7109375
