Canale_SX,Canale_DX,Direzione,Ritardo(s)
EEGFp1,EEGFp2,sx_dx,0
EEGFp1,EEGFp2,sx_dx,0.1015625
EEGFp1,EEGFp2,sx_dx,0
EEGFp1,EEGFp2,sx_dx,0.203125
EEGFp1,EEGFp2,sx_dx,0.1015625
EEGFp1,EEGFp2,sx_dx,0.203125
EEGFp1,EEGFp2,sx_dx,0
EEGFp1,EEGFp2,sx_dx,0.5078125
EEGFp1,EEGFp2,sx_dx,0.1015625
EEGFp1,EEGFp2,sx_dx,0.1015625
EEGFp1,EEGFp2,sx_dx,0.203125
EEGFp1,EEGFp2,sx_dx,0
EEGFp1,EEGFp2,sx_dx,1.21875
EEGFp1,EEGFp2,sx_dx,0.5078125
EEGFp1,EEGFp2,sx_dx,0.7109375
EEGFp1,EEGFp2,sx_dx,0.1015625
EEGFp1,EEGFp2,sx_dx,0.40625
EEGFp1,EEGFp2,sx_dx,0.3046875
EEGFp1,EEGFp2,sx_dx,0.7109375
EEGFp1,EEGFp2,sx_dx,0.203125
EEGFp1,EEGFp2,sx_dx,0
EEGFp1,EEGFp2,sx_dx,0.203125
EEGFp1,EEGFp2,sx_dx,0.1015625
EEGFp1,EEGFp2,sx_dx,0.203125
EEGFp1,EEGFp2,sx_dx,0.9140625
EEGFp1,EEGFp2,sx_dx,0.203125
EEGFp1,EEGFp2,sx_dx,0.9140625
EEGFp1,EEGFp2,sx_dx,0.203125
EEGFp1,EEGFp2,sx_dx,0.1015625
EEGFp1,EEGFp2,sx_dx,0.203125
EEGFp1,EEGFp2,sx_dx,0.8125
EEGFp1,EEGFp2,sx_dx,0.203125
EEGFp1,EEGFp2,sx_dx,0.609375
EEGFp1,EEGFp2,sx_dx,1.21875
EEGFp1,EEGFp2,sx_dx,0.1015625
EEGFp1,EEGFp2,sx_dx,0
EEGFp1,EEGFp2,sx_dx,0
EEGFp1,EEGFp2,sx_dx,0
EEGFp1,EEGFp2,sx_dx,0.609375
EEGFp1,EEGFp2,sx_dx,0.1015625
EEGFp1,EEGFp2,sx_dx,0.1015625
EEGFp1,EEGFp2,sx_dx,0.203125
EEGFp1,EEGFp2,sx_dx,0.1015625
EEGFp1,EEGFp2,sx_dx,0.1015625
EEGFp1,EEGFp2,sx_dx,0.1015625
EEGFp1,EEGFp2,sx_dx,1.015625
EEGFp1,EEGFp2,sx_dx,0
EEGFp1,EEGFp2,dx_sx,0
EEGFp1,EEGFp2,dx_sx,1.421875
EEGFp1,EEGFp2,dx_sx,0
EEGFp1,EEGFp2,dx_sx,0.1015625
EEGFp1,EEGFp2,dx_sx,0.203125
EEGFp1,EEGFp2,dx_sx,0
