Canale,Start_Time(s),End_Time(s)
EEG C3,103.25,103.75
EEG C3,129.0,129.5
EEG C3,155.0,155.5
EEG C3,170.5,171.0
EEG C3,303.5,304.0
EEG C3,320.25,320.75
EEG C3,359.25,359.75
EEG C3,433.5,434.0
EEG C3,490.5,491.0
EEG C3,613.5,614.0
EEG C3,673.5,674.0
EEG C3,722.75,723.25
EEG C3,748.25,748.75
EEG C3,803.0,803.5
EEG C3,808.5,809.0
EEG C3,858.5,859.0
EEG C3,989.75,990.25
EEG C3,1107.75,1108.25
EEG C3,1179.75,1180.25
EEG C3,1299.75,1300.5
EEG C3,1419.75,1420.25
EEG C3,1454.75,1455.25
EEG C3,1486.0,1486.5
EEG C3,1491.75,1492.25
EEG C3,1506.5,1507.0
EEG C3,1527.5,1528.0
EEG C3,1557.0,1557.5
EEG C3,1679.75,1680.25
EEG C3,1708.5,1709.0
EEG C3,1735.0,1735.5
EEG C3,1740.0,1740.5
EEG C3,1744.25,1744.75
EEG C3,1780.25,1780.75
EEG C3,1852.25,1852.75
EEG C3,1873.5,1874.0
EEG C3,1896.75,1897.25
EEG C3,1917.25,1917.75
EEG C3,1965.75,1966.25
EEG C3,2012.5,2013.0
EEG C3,2033.25,2033.75
EEG C3,2095.0,2095.5
EEG C3,2134.25,2134.75
EEG C3,2184.75,2185.25
EEG C3,2201.75,2202.25
EEG C3,2217.25,2217.75
EEG C3,2267.25,2267.75
EEG C3,2286.75,2287.25
EEG C3,2312.75,2313.25
EEG C3,2348.5,2349.0
EEG C3,2355.25,2355.75
EEG C3,2370.75,2371.25
EEG C3,2400.25,2400.75
EEG C3,2461.5,2462.0
EEG C3,2546.25,2546.75
EEG C3,2692.0,2692.5
EEG C3,2731.75,2732.25
EEG C3,2881.0,2881.5
EEG C3,2895.0,2895.5
EEG C3,2986.5,2987.0
EEG C3,3336.25,3336.75
EEG C3,3463.75,3464.25
EEG C3,3650.25,3650.75
EEG C3,3726.5,3727.0
EEG C3,3774.75,3775.25
EEG C3,4051.5,4052.0
EEG C3,4075.0,4075.5
EEG C3,4181.0,4181.5
EEG C3,4234.75,4235.25
EEG C3,4281.5,4282.0
EEG C3,4313.0,4313.5
EEG C3,4319.5,4320.0
EEG C3,4345.0,4345.5
EEG C3,4351.25,4352.0
EEG C3,4357.25,4357.75
EEG C3,4377.25,4377.75
EEG C3,4425.0,4425.5
EEG C3,4508.75,4509.25
EEG C4,42.75,43.25
EEG C4,48.5,49.0
EEG C4,127.5,128.0
EEG C4,147.75,148.25
EEG C4,167.25,167.75
EEG C4,222.25,222.75
EEG C4,312.75,313.25
EEG C4,408.75,409.25
EEG C4,415.75,416.25
EEG C4,552.75,553.25
EEG C4,623.0,623.5
EEG C4,658.75,659.5
EEG C4,810.75,811.25
EEG C4,830.5,831.0
EEG C4,995.0,995.5
EEG C4,1054.0,1054.5
EEG C4,1123.5,1124.0
EEG C4,1253.75,1254.25
EEG C4,1291.5,1292.0
EEG C4,1307.75,1308.25
EEG C4,1370.0,1370.5
EEG C4,1432.5,1433.0
EEG C4,1516.75,1517.25
EEG C4,1558.25,1558.75
